,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Año,Mes,Trim
153,9.0,1.0,1320.74,22.9,3772.642,2018.0,1.0,1.0
154,10.0,1.0,1389.592,24.9,4014.481,2018.0,1.0,1.0
155,11.0,1.0,1455.431,27.2,4230.559,2018.0,1.0,1.0
156,12.0,1.0,1513.514,28.8,4439.131,2018.0,1.0,1.0
157,13.0,1.0,1605.271,30.2,4705.807,2018.0,1.0,1.0
158,14.0,1.0,1624.503,31.6,4915.895,2018.0,1.0,1.0
159,15.0,1.0,1630.327,32.6,5040.839,2018.0,1.0,1.0
160,16.0,1.0,1616.547,32.7,5134.059,2018.0,1.0,1.0
161,17.0,1.0,1635.189,30.9,5217.034,2018.0,1.0,1.0
162,18.0,1.0,1640.969,31.0,5227.906,2018.0,1.0,1.0
163,19.0,1.0,1639.358,29.8,5242.039,2018.0,1.0,1.0
164,20.0,1.0,1640.035,28.8,5350.824,2018.0,1.0,1.0
165,21.0,1.0,1820.05,27.4,5897.798,2018.0,1.0,1.0
166,22.0,1.0,1926.89,26.7,6410.084,2018.0,1.0,1.0
167,23.0,1.0,1883.089,26.2,6360.654,2018.0,1.0,1.0
168,0.0,2.0,1817.256,25.7,6080.018,2018.0,1.0,1.0
169,1.0,2.0,1725.222,25.1,5683.508,2018.0,1.0,1.0
170,2.0,2.0,1643.874,25.0,5310.06,2018.0,1.0,1.0
171,3.0,2.0,1608.112,24.1,5008.529,2018.0,1.0,1.0
172,4.0,2.0,1572.648,23.0,4830.489,2018.0,1.0,1.0
173,5.0,2.0,1560.818,23.6,4752.354,2018.0,1.0,1.0
174,6.0,2.0,1503.42,23.6,4683.681,2018.0,1.0,1.0
175,7.0,2.0,1443.337,24.3,4730.063,2018.0,1.0,1.0
176,8.0,2.0,1519.507,25.3,5235.433,2018.0,1.0,1.0
177,9.0,2.0,1635.786,27.0,5786.154,2018.0,1.0,1.0
178,10.0,2.0,1692.237,28.4,6276.14,2018.0,1.0,1.0
179,11.0,2.0,1743.501,29.7,6608.485,2018.0,1.0,1.0
180,12.0,2.0,1830.584,31.5,6944.467,2018.0,1.0,1.0
181,13.0,2.0,1905.122,31.7,7251.841,2018.0,1.0,1.0
182,14.0,2.0,1933.994,32.6,7528.285,2018.0,1.0,1.0
183,15.0,2.0,1943.525,31.8,7389.874,2018.0,1.0,1.0
184,16.0,2.0,2011.508,33.0,7905.124,2018.0,1.0,1.0
185,17.0,2.0,2016.578,32.4,7923.477,2018.0,1.0,1.0
186,18.0,2.0,1980.437,32.1,7673.732,2018.0,1.0,1.0
187,19.0,2.0,1972.829,31.6,7342.222,2018.0,1.0,1.0
188,20.0,2.0,1966.878,30.1,7160.697,2018.0,1.0,1.0
189,21.0,2.0,2033.986,28.5,7560.099,2018.0,1.0,1.0
190,22.0,2.0,2166.245,28.0,7983.264,2018.0,1.0,1.0
191,23.0,2.0,2107.286,26.6,7822.125,2018.0,1.0,1.0
192,0.0,3.0,2036.737,26.3,7486.461,2018.0,1.0,1.0
193,1.0,3.0,1975.488,26.6,6913.338,2018.0,1.0,1.0
194,2.0,3.0,1865.59,26.3,6409.561,2018.0,1.0,1.0
195,3.0,3.0,1779.339,25.6,6003.969,2018.0,1.0,1.0
196,4.0,3.0,1736.381,24.9,5752.804,2018.0,1.0,1.0
197,5.0,3.0,1713.488,24.6,5583.754,2018.0,1.0,1.0
198,6.0,3.0,1676.12,23.9,5393.762,2018.0,1.0,1.0
199,7.0,3.0,1603.932,24.0,5308.084,2018.0,1.0,1.0
200,8.0,3.0,1692.414,24.0,5705.596,2018.0,1.0,1.0
201,9.0,3.0,1784.452,24.9,6238.334,2018.0,1.0,1.0
202,10.0,3.0,1925.471,26.4,6691.466,2018.0,1.0,1.0
203,11.0,3.0,1984.143,26.4,6981.372,2018.0,1.0,1.0
204,12.0,3.0,2004.627,28.0,6898.509,2018.0,1.0,1.0
205,13.0,3.0,2072.953,29.9,7455.392,2018.0,1.0,1.0
206,14.0,3.0,2127.156,30.6,7784.8,2018.0,1.0,1.0
207,15.0,3.0,2138.056,31.8,8021.557,2018.0,1.0,1.0
208,16.0,3.0,2165.402,31.8,8090.465,2018.0,1.0,1.0
209,17.0,3.0,2180.625,31.0,8000.768,2018.0,1.0,1.0
210,18.0,3.0,2170.103,29.0,7744.355,2018.0,1.0,1.0
211,19.0,3.0,2094.428,28.4,7332.302,2018.0,1.0,1.0
212,20.0,3.0,2044.378,26.6,7061.652,2018.0,1.0,1.0
213,21.0,3.0,2136.816,26.2,7414.261,2018.0,1.0,1.0
214,22.0,3.0,2223.41,26.0,7877.677,2018.0,1.0,1.0
215,23.0,3.0,2160.988,27.6,7859.74,2018.0,1.0,1.0
216,0.0,4.0,2034.284,27.1,7492.207,2018.0,1.0,1.0
217,1.0,4.0,1928.206,26.2,6900.174,2018.0,1.0,1.0
218,2.0,4.0,1817.039,25.5,6374.879,2018.0,1.0,1.0
219,3.0,4.0,1738.445,24.8,6029.331,2018.0,1.0,1.0
220,4.0,4.0,1718.751,24.2,5809.527,2018.0,1.0,1.0
221,5.0,4.0,1720.858,24.1,5662.687,2018.0,1.0,1.0
222,6.0,4.0,1648.922,24.0,5555.284,2018.0,1.0,1.0
223,7.0,4.0,1606.65,24.3,5516.818,2018.0,1.0,1.0
224,8.0,4.0,1674.735,25.2,5947.265,2018.0,1.0,1.0
225,9.0,4.0,1805.361,26.2,6504.468,2018.0,1.0,1.0
226,10.0,4.0,1956.173,27.0,7053.715,2018.0,1.0,1.0
227,11.0,4.0,2055.872,28.6,7461.928,2018.0,1.0,1.0
228,12.0,4.0,2142.181,30.6,7839.103,2018.0,1.0,1.0
229,13.0,4.0,2224.321,31.3,8274.224,2018.0,1.0,1.0
230,14.0,4.0,2276.992,32.2,8660.982,2018.0,1.0,1.0
231,15.0,4.0,2291.213,33.0,8915.864,2018.0,1.0,1.0
232,16.0,4.0,2277.164,33.8,8619.724739130434,2018.0,1.0,1.0
233,17.0,4.0,2282.668,33.0,8831.116,2018.0,1.0,1.0
234,18.0,4.0,2231.731,32.0,8547.403,2018.0,1.0,1.0
235,19.0,4.0,2170.923,30.6,8165.728,2018.0,1.0,1.0
236,20.0,4.0,2135.763,28.9,7909.703,2018.0,1.0,1.0
237,21.0,4.0,2228.526,28.4,8292.046,2018.0,1.0,1.0
238,22.0,4.0,2315.401,28.6,8663.459,2018.0,1.0,1.0
239,23.0,4.0,2256.175,28.8,8541.613,2018.0,1.0,1.0
240,0.0,5.0,2169.334,29.0,8270.437,2018.0,1.0,1.0
241,1.0,5.0,2084.154,28.3,7728.312,2018.0,1.0,1.0
242,2.0,5.0,1983.519,27.6,7217.419,2018.0,1.0,1.0
243,3.0,5.0,1916.846,27.7,6883.674,2018.0,1.0,1.0
244,4.0,5.0,1870.45,27.8,6668.377,2018.0,1.0,1.0
245,5.0,5.0,1848.42,27.3,6480.14,2018.0,1.0,1.0
246,6.0,5.0,1809.476,26.8,6300.386,2018.0,1.0,1.0
247,7.0,5.0,1741.423,27.0,6205.277,2018.0,1.0,1.0
248,8.0,5.0,1803.952,28.2,6663.609,2018.0,1.0,1.0
249,9.0,5.0,1949.253,29.8,7280.343,2018.0,1.0,1.0
250,10.0,5.0,2082.573,31.7,7853.772,2018.0,1.0,1.0
251,11.0,5.0,2203.078,33.9,8291.884,2018.0,1.0,1.0
252,12.0,5.0,2313.315,35.0,8774.945,2018.0,1.0,1.0
253,13.0,5.0,2178.301130434783,34.4,8273.110434782606,2018.0,1.0,1.0
254,14.0,5.0,2193.7216521739133,36.0,8284.066478260867,2018.0,1.0,1.0
255,15.0,5.0,2182.8583913043476,36.7,8187.859086956522,2018.0,1.0,1.0
256,16.0,5.0,2331.836,36.5,8599.474086956523,2018.0,1.0,1.0
257,17.0,5.0,2247.784,36.4,8549.656086956524,2018.0,1.0,1.0
258,18.0,5.0,2210.017,34.8,8823.305,2018.0,1.0,1.0
259,19.0,5.0,2128.191,33.4,8393.686,2018.0,1.0,1.0
260,20.0,5.0,2085.759,31.6,8276.933,2018.0,1.0,1.0
261,21.0,5.0,2231.705,30.8,8759.617,2018.0,1.0,1.0
262,22.0,5.0,2264.739,30.8,8417.660217391305,2018.0,1.0,1.0
263,23.0,5.0,2220.345,29.1,8804.56,2018.0,1.0,1.0
264,0.0,6.0,2161.168,29.5,8531.11,2018.0,1.0,1.0
265,1.0,6.0,2033.604,28.6,7952.663,2018.0,1.0,1.0
266,2.0,6.0,1962.919,28.3,7493.262,2018.0,1.0,1.0
267,3.0,6.0,1900.189,29.3,7187.458,2018.0,1.0,1.0
268,4.0,6.0,1855.99,28.4,6973.276,2018.0,1.0,1.0
269,5.0,6.0,1823.866,28.1,6802.896,2018.0,1.0,1.0
270,6.0,6.0,1778.453,27.8,6682.129,2018.0,1.0,1.0
271,7.0,6.0,1688.714,27.7,6546.491,2018.0,1.0,1.0
272,8.0,6.0,1745.171,28.2,6926.955,2018.0,1.0,1.0
273,9.0,6.0,1874.775,30.6,7458.406,2018.0,1.0,1.0
274,10.0,6.0,1995.583,31.9,7991.608,2018.0,1.0,1.0
275,11.0,6.0,2099.451,30.5,8411.871,2018.0,1.0,1.0
276,12.0,6.0,2158.017,30.6,8600.7,2018.0,1.0,1.0
277,13.0,6.0,2178.192,31.5,8781.66,2018.0,1.0,1.0
278,14.0,6.0,2204.625,33.4,8904.623,2018.0,1.0,1.0
279,15.0,6.0,2182.726,32.4,8938.066,2018.0,1.0,1.0
280,16.0,6.0,2169.577,29.6,8836.284,2018.0,1.0,1.0
281,17.0,6.0,2198.312,29.7,8600.448,2018.0,1.0,1.0
282,18.0,6.0,2196.445,29.0,8315.085,2018.0,1.0,1.0
283,19.0,6.0,2152.918,26.4,7719.693,2018.0,1.0,1.0
284,20.0,6.0,2084.535,26.2,7232.519,2018.0,1.0,1.0
285,21.0,6.0,2179.407,26.1,7528.457,2018.0,1.0,1.0
286,22.0,6.0,2247.238,25.5,7789.87,2018.0,1.0,1.0
287,23.0,6.0,2147.476,24.4,7557.914,2018.0,1.0,1.0
288,0.0,7.0,2075.533,24.4,7096.164,2018.0,1.0,1.0
289,1.0,7.0,1958.156,24.8,6705.224,2018.0,1.0,1.0
290,2.0,7.0,1839.42,25.1,6436.21,2018.0,1.0,1.0
291,3.0,7.0,1763.431,24.4,6143.326,2018.0,1.0,1.0
292,4.0,7.0,1721.706,23.4,5908.363,2018.0,1.0,1.0
293,5.0,7.0,1665.449,22.7,5742.037,2018.0,1.0,1.0
294,6.0,7.0,1593.873,23.0,5552.824,2018.0,1.0,1.0
295,7.0,7.0,1528.885,24.8,5245.011,2018.0,1.0,1.0
296,8.0,7.0,1572.996,25.2,5351.171,2018.0,1.0,1.0
297,9.0,7.0,1659.399,27.0,5699.106,2018.0,1.0,1.0
298,10.0,7.0,1721.868,27.8,6177.827,2018.0,1.0,1.0
299,11.0,7.0,1806.937,28.2,6536.455,2018.0,1.0,1.0
300,12.0,7.0,1835.18,29.8,6858.937,2018.0,1.0,1.0
301,13.0,7.0,1843.472,28.9,7082.916,2018.0,1.0,1.0
302,14.0,7.0,1832.714,28.0,7063.994,2018.0,1.0,1.0
303,15.0,7.0,1805.674,29.6,7026.612,2018.0,1.0,1.0
304,16.0,7.0,1769.569,29.0,6926.468,2018.0,1.0,1.0
305,17.0,7.0,1751.339,24.0,6513.245,2018.0,1.0,1.0
306,18.0,7.0,1752.219,23.7,6279.28,2018.0,1.0,1.0
307,19.0,7.0,1735.18,23.8,6072.391,2018.0,1.0,1.0
308,20.0,7.0,1710.916,22.8,5953.688,2018.0,1.0,1.0
309,21.0,7.0,1812.227,21.8,6222.442,2018.0,1.0,1.0
310,22.0,7.0,1840.805,20.7,6121.611,2018.0,1.0,1.0
311,23.0,7.0,1771.498,19.9,5725.034,2018.0,1.0,1.0
312,0.0,1.0,1702.682,19.8,5357.415,2018.0,1.0,1.0
313,1.0,1.0,1620.236,19.4,5030.985,2018.0,1.0,1.0
314,2.0,1.0,1544.815,19.0,4726.25,2018.0,1.0,1.0
315,3.0,1.0,1463.239,18.9,4488.972,2018.0,1.0,1.0
316,4.0,1.0,1429.246,19.0,4341.158,2018.0,1.0,1.0
317,5.0,1.0,1410.266,18.8,4208.804,2018.0,1.0,1.0
318,6.0,1.0,1366.923,17.8,4100.618,2018.0,1.0,1.0
319,7.0,1.0,1246.025,16.9,3820.446,2018.0,1.0,1.0
320,8.0,1.0,1245.665,16.6,3700.115,2018.0,1.0,1.0
321,9.0,1.0,1281.38,16.8,3759.141,2018.0,1.0,1.0
322,10.0,1.0,1334.988,17.5,3906.394,2018.0,1.0,1.0
323,11.0,1.0,1372.564,18.0,4062.644,2018.0,1.0,1.0
324,12.0,1.0,1413.395,19.0,4194.592,2018.0,1.0,1.0
325,13.0,1.0,1437.494,19.2,4323.667,2018.0,1.0,1.0
326,14.0,1.0,1438.939,20.0,4372.777,2018.0,1.0,1.0
327,15.0,1.0,1416.978,19.2,4269.514,2018.0,1.0,1.0
328,16.0,1.0,1407.23,19.8,4186.684,2018.0,1.0,1.0
329,17.0,1.0,1433.715,20.1,4174.692,2018.0,1.0,1.0
330,18.0,1.0,1439.929,20.5,4218.324,2018.0,1.0,1.0
331,19.0,1.0,1454.111,18.2,4304.087,2018.0,1.0,1.0
332,20.0,1.0,1489.725,18.4,4423.943,2018.0,1.0,1.0
333,21.0,1.0,1656.508,18.3,4945.169,2018.0,1.0,1.0
334,22.0,1.0,1745.45,18.2,5171.036,2018.0,1.0,1.0
335,23.0,1.0,1686.79,18.0,4976.019,2018.0,1.0,1.0
336,0.0,2.0,1631.05,17.7,4641.612,2018.0,1.0,1.0
337,1.0,2.0,1571.901,16.9,4287.867,2018.0,1.0,1.0
338,2.0,2.0,1504.902,16.4,3997.794,2018.0,1.0,1.0
339,3.0,2.0,1449.729,16.3,3790.888,2018.0,1.0,1.0
340,4.0,2.0,1417.949,16.1,3721.715,2018.0,1.0,1.0
341,5.0,2.0,1405.034,15.8,3727.792,2018.0,1.0,1.0
342,6.0,2.0,1366.835,16.0,3829.354,2018.0,1.0,1.0
343,7.0,2.0,1315.203,16.5,3917.365,2018.0,1.0,1.0
344,8.0,2.0,1368.719,16.9,4288.124,2018.0,1.0,1.0
345,9.0,2.0,1424.93,18.6,4745.461,2018.0,1.0,1.0
346,10.0,2.0,1507.586,21.4,5164.947,2018.0,1.0,1.0
347,11.0,2.0,1571.361,23.0,5451.736,2018.0,1.0,1.0
348,12.0,2.0,1599.096,25.4,5664.325,2018.0,1.0,1.0
349,13.0,2.0,1650.214,25.9,5834.563,2018.0,1.0,1.0
350,14.0,2.0,1666.65,27.0,5955.421,2018.0,1.0,1.0
351,15.0,2.0,1660.563,27.1,6033.93,2018.0,1.0,1.0
352,16.0,2.0,1672.22,26.9,6057.491,2018.0,1.0,1.0
353,17.0,2.0,1693.145,26.0,6059.574,2018.0,1.0,1.0
354,18.0,2.0,1715.581,25.4,5923.026,2018.0,1.0,1.0
355,19.0,2.0,1712.35,24.2,5699.656,2018.0,1.0,1.0
356,20.0,2.0,1707.516,22.0,5588.615,2018.0,1.0,1.0
357,21.0,2.0,1826.972,22.5,6070.177,2018.0,1.0,1.0
358,22.0,2.0,1917.348,22.4,6259.638,2018.0,1.0,1.0
359,23.0,2.0,1874.002,22.2,5928.041,2018.0,1.0,1.0
360,0.0,3.0,1793.482,22.1,5471.795,2018.0,1.0,1.0
361,1.0,3.0,1696.616,22.1,5024.157,2018.0,1.0,1.0
362,2.0,3.0,1609.125,22.0,4681.385,2018.0,1.0,1.0
363,3.0,3.0,1562.582,21.6,4457.578,2018.0,1.0,1.0
364,4.0,3.0,1526.562,21.4,4345.774,2018.0,1.0,1.0
365,5.0,3.0,1524.547,21.1,4296.244,2018.0,1.0,1.0
366,6.0,3.0,1505.485,20.8,4336.918,2018.0,1.0,1.0
367,7.0,3.0,1445.703,21.8,4379.228,2018.0,1.0,1.0
368,8.0,3.0,1525.097,21.9,4842.478,2018.0,1.0,1.0
369,9.0,3.0,1647.796,23.5,5411.691,2018.0,1.0,1.0
370,10.0,3.0,1736.587,25.0,5902.23,2018.0,1.0,1.0
371,11.0,3.0,1799.795,25.4,6185.512,2018.0,1.0,1.0
372,12.0,3.0,1874.549,27.1,6430.397,2018.0,1.0,1.0
