,Hora,Tipo Dia,Energia PBA,Clima PBA,Energia GBA,Clima GBA,Año,Mes
85,13.0,5.0,2115.7,26.5,8007.0,34.8,2018.0,1.0
86,14.0,5.0,2189.7,23.4,8292.8,35.4,2018.0,1.0
87,15.0,5.0,2179.7,24.0,8616.2,35.6,2018.0,1.0
88,16.0,5.0,2161.8,25.5,8762.5,36.6,2018.0,1.0
89,17.0,5.0,2168.1,26.5,8650.8,35.9,2018.0,1.0
90,18.0,5.0,2144.0,26.4,8422.4,35.4,2018.0,1.0
91,19.0,5.0,2116.5,22.1,8079.3,34.4,2018.0,1.0
92,20.0,5.0,2068.3,20.7,7927.9,33.1,2018.0,1.0
93,21.0,5.0,2144.5,19.4,8423.5,31.8,2018.0,1.0
94,22.0,5.0,2216.9,20.0,8839.6,31.1,2018.0,1.0
95,23.0,5.0,2130.4,19.8,8735.2,30.5,2018.0,1.0
96,0.0,6.0,2095.9,19.2,8319.4,30.3,2018.0,1.0
97,1.0,6.0,1936.9,18.0,7732.7,29.8,2018.0,1.0
98,2.0,6.0,1824.4,11.115384615384613,7199.3,29.4,2018.0,1.0
99,3.0,6.0,1773.3,17.0,6761.6,28.2,2018.0,1.0
100,4.0,6.0,1718.7,16.4,6471.1,27.8,2018.0,1.0
101,5.0,6.0,1696.2,15.8,6238.8,26.3,2018.0,1.0
102,6.0,6.0,1644.2,15.2,6033.7,24.8,2018.0,1.0
103,7.0,6.0,1575.5,15.4,5749.7,22.4,2018.0,1.0
104,8.0,6.0,1616.4,15.8,5830.4,21.4,2018.0,1.0
105,9.0,6.0,1716.1,16.9,6057.3,22.2,2018.0,1.0
106,10.0,6.0,1797.3,17.9,6158.8,20.4,2018.0,1.0
107,11.0,6.0,1861.0,18.3,6152.6,18.8,2018.0,1.0
108,12.0,6.0,1894.9,19.9,6113.7,19.4,2018.0,1.0
109,13.0,6.0,1903.3,20.6,6101.2,20.0,2018.0,1.0
110,14.0,6.0,1889.7,21.4,6051.9,21.2,2018.0,1.0
111,15.0,6.0,1897.6,21.9,6041.6,21.6,2018.0,1.0
112,16.0,6.0,1889.4,22.2,5963.8,20.4,2018.0,1.0
113,17.0,6.0,1912.9,23.1,5840.1,19.8,2018.0,1.0
114,18.0,6.0,1930.4,19.8,5689.9,20.0,2018.0,1.0
115,19.0,6.0,1883.0,19.0,5523.4,20.4,2018.0,1.0
116,20.0,6.0,1866.3,18.0,5487.9,19.8,2018.0,1.0
117,21.0,6.0,1937.7,16.7,5849.1,19.4,2018.0,1.0
118,22.0,6.0,2005.1,15.8,5923.1,19.1,2018.0,1.0
119,23.0,6.0,1897.9,12.407692307692306,5601.1,18.8,2018.0,1.0
120,0.0,7.0,1833.6,14.1,5214.8,18.1,2018.0,1.0
121,1.0,7.0,1719.3,13.1,4849.6,17.4,2018.0,1.0
122,2.0,7.0,1625.6,11.0,4532.1,18.0,2018.0,1.0
123,3.0,7.0,1572.0,9.6,4299.6,17.5,2018.0,1.0
124,4.0,7.0,1544.4,9.0,4149.2,17.1,2018.0,1.0
125,5.0,7.0,1512.5,9.0,4044.9,16.8,2018.0,1.0
126,6.0,7.0,1462.3,9.3,3895.8,15.8,2018.0,1.0
127,7.0,7.0,1391.1,10.6,3714.0,16.5,2018.0,1.0
128,8.0,7.0,1436.9,15.8,3886.9,20.4,2018.0,1.0
129,9.0,7.0,1551.8,18.5,4180.5,22.4,2018.0,1.0
130,10.0,7.0,1634.0,20.0,4484.0,23.4,2018.0,1.0
131,11.0,7.0,1683.8,21.4,4694.3,23.9,2018.0,1.0
132,12.0,7.0,1696.8,22.3,4843.9,25.0,2018.0,1.0
133,13.0,7.0,1692.0,23.1,4953.9,25.0,2018.0,1.0
134,14.0,7.0,1654.8,21.6,4981.8,25.2,2018.0,1.0
135,15.0,7.0,1662.8,21.2,4942.1,25.9,2018.0,1.0
136,16.0,7.0,1649.7,21.9,4923.7,25.8,2018.0,1.0
137,17.0,7.0,1684.1,21.4,4942.2,24.4,2018.0,1.0
138,18.0,7.0,1693.9,20.6,4970.6,24.4,2018.0,1.0
139,19.0,7.0,1717.9,20.5,4923.2,24.1,2018.0,1.0
140,20.0,7.0,1720.8,19.3,4929.6,23.6,2018.0,1.0
141,21.0,7.0,1858.1,17.9,5417.8,23.0,2018.0,1.0
142,22.0,7.0,1875.5,18.1,5586.2,22.9,2018.0,1.0
143,23.0,7.0,1828.4,17.8,5349.1,23.3,2018.0,1.0
144,0.0,1.0,1754.8,17.5,5056.0,22.5,2018.0,1.0
145,1.0,1.0,1672.0,17.2,4743.0,22.6,2018.0,1.0
146,2.0,1.0,1575.6,15.5,4457.1,21.9,2018.0,1.0
147,3.0,1.0,1486.6,15.2,4225.1,21.3,2018.0,1.0
148,4.0,1.0,1443.2,14.3,4053.7,20.4,2018.0,1.0
149,5.0,1.0,1426.8,14.2,3940.5,19.5,2018.0,1.0
150,6.0,1.0,1347.7,14.8,3751.7,18.8,2018.0,1.0
151,7.0,1.0,1261.9,14.9,3480.7,19.1,2018.0,1.0
152,8.0,1.0,1225.5,17.5,3562.9,20.0,2018.0,1.0
153,9.0,1.0,1320.7,19.6,3772.6,22.9,2018.0,1.0
154,10.0,1.0,1389.6,22.6,4014.5,24.9,2018.0,1.0
155,11.0,1.0,1455.4,24.5,4230.6,27.2,2018.0,1.0
156,12.0,1.0,1513.5,25.5,4439.1,28.8,2018.0,1.0
157,13.0,1.0,1605.3,25.2,4705.8,30.2,2018.0,1.0
158,14.0,1.0,1624.5,24.4,4915.9,31.6,2018.0,1.0
159,15.0,1.0,1630.3,23.9,5040.8,32.6,2018.0,1.0
160,16.0,1.0,1616.5,23.8,5134.1,32.7,2018.0,1.0
161,17.0,1.0,1635.2,23.1,5217.0,30.9,2018.0,1.0
162,18.0,1.0,1641.0,22.4,5227.9,31.0,2018.0,1.0
163,19.0,1.0,1639.4,20.9,5242.0,29.8,2018.0,1.0
164,20.0,1.0,1640.0,20.1,5350.8,28.8,2018.0,1.0
165,21.0,1.0,1820.1,19.6,5897.8,27.4,2018.0,1.0
166,22.0,1.0,1926.9,19.2,6410.1,26.7,2018.0,1.0
167,23.0,1.0,1883.1,19.4,6360.7,26.2,2018.0,1.0
168,0.0,2.0,1817.3,18.2,6080.0,25.7,2018.0,1.0
169,1.0,2.0,1725.2,18.8,5683.5,25.1,2018.0,1.0
170,2.0,2.0,1643.9,18.2,5310.1,25.0,2018.0,1.0
171,3.0,2.0,1608.1,16.4,5008.5,24.1,2018.0,1.0
172,4.0,2.0,1572.6,14.8,4830.5,23.0,2018.0,1.0
173,5.0,2.0,1560.8,15.4,4752.4,23.6,2018.0,1.0
174,6.0,2.0,1503.4,15.6,4683.7,23.6,2018.0,1.0
175,7.0,2.0,1443.3,18.0,4730.1,24.3,2018.0,1.0
176,8.0,2.0,1519.5,21.2,5235.4,25.3,2018.0,1.0
177,9.0,2.0,1635.8,25.6,5786.2,27.0,2018.0,1.0
178,10.0,2.0,1692.2,28.2,6276.1,28.4,2018.0,1.0
179,11.0,2.0,1743.5,25.8,6608.5,29.7,2018.0,1.0
180,12.0,2.0,1830.6,25.5,6944.5,31.5,2018.0,1.0
181,13.0,2.0,1905.1,26.0,7251.8,31.7,2018.0,1.0
182,14.0,2.0,1934.0,26.2,7528.3,32.6,2018.0,1.0
183,15.0,2.0,1943.5,27.6,7389.9,31.8,2018.0,1.0
184,16.0,2.0,2011.5,27.0,7905.1,33.0,2018.0,1.0
185,17.0,2.0,2016.6,26.7,7923.5,32.4,2018.0,1.0
186,18.0,2.0,1980.4,25.7,7673.7,32.1,2018.0,1.0
187,19.0,2.0,1972.8,24.8,7342.2,31.6,2018.0,1.0
188,20.0,2.0,1966.9,22.5,7160.7,30.1,2018.0,1.0
189,21.0,2.0,2034.0,22.2,7560.1,28.5,2018.0,1.0
190,22.0,2.0,2166.2,22.3,7983.3,28.0,2018.0,1.0
191,23.0,2.0,2107.3,22.5,7822.1,26.6,2018.0,1.0
192,0.0,3.0,2036.7,21.8,7486.5,26.3,2018.0,1.0
193,1.0,3.0,1975.5,20.4,6913.3,26.6,2018.0,1.0
194,2.0,3.0,1865.6,19.4,6409.6,26.3,2018.0,1.0
195,3.0,3.0,1779.3,18.8,6004.0,25.6,2018.0,1.0
196,4.0,3.0,1736.4,17.8,5752.8,24.9,2018.0,1.0
197,5.0,3.0,1713.5,18.6,5583.8,24.6,2018.0,1.0
198,6.0,3.0,1676.1,17.4,5393.8,23.9,2018.0,1.0
199,7.0,3.0,1603.9,18.8,5308.1,24.0,2018.0,1.0
200,8.0,3.0,1692.4,22.4,5705.6,24.0,2018.0,1.0
201,9.0,3.0,1784.5,24.9,6238.3,24.9,2018.0,1.0
202,10.0,3.0,1925.5,27.4,6691.5,26.4,2018.0,1.0
203,11.0,3.0,1984.1,28.9,6981.4,26.4,2018.0,1.0
204,12.0,3.0,2004.6,30.5,6898.5,28.0,2018.0,1.0
205,13.0,3.0,2073.0,31.3,7455.4,29.9,2018.0,1.0
206,14.0,3.0,2127.2,13.93846153846154,7784.8,30.6,2018.0,1.0
207,15.0,3.0,2138.1,12.823076923076924,8021.6,31.8,2018.0,1.0
208,16.0,3.0,2165.4,28.7,8090.5,31.8,2018.0,1.0
209,17.0,3.0,2180.6,27.6,8000.8,31.0,2018.0,1.0
210,18.0,3.0,2170.1,27.2,7744.4,29.0,2018.0,1.0
211,19.0,3.0,2094.4,25.5,7332.3,28.4,2018.0,1.0
212,20.0,3.0,2044.4,23.6,7061.7,26.6,2018.0,1.0
213,21.0,3.0,2136.8,22.1,7414.3,26.2,2018.0,1.0
214,22.0,3.0,2223.4,21.3,7877.7,26.0,2018.0,1.0
215,23.0,3.0,2161.0,19.6,7859.7,27.6,2018.0,1.0
216,0.0,4.0,2034.3,20.1,7492.2,27.1,2018.0,1.0
217,1.0,4.0,1928.2,19.9,6900.2,26.2,2018.0,1.0
218,2.0,4.0,1817.0,20.2,6374.9,25.5,2018.0,1.0
219,3.0,4.0,1738.4,20.0,6029.3,24.8,2018.0,1.0
220,4.0,4.0,1718.8,19.5,5809.5,24.2,2018.0,1.0
221,5.0,4.0,1720.9,19.2,5662.7,24.1,2018.0,1.0
222,6.0,4.0,1648.9,18.6,5555.3,24.0,2018.0,1.0
223,7.0,4.0,1606.7,19.5,5516.8,24.3,2018.0,1.0
224,8.0,4.0,1674.7,21.6,5947.3,25.2,2018.0,1.0
225,9.0,4.0,1805.4,22.6,6504.5,26.2,2018.0,1.0
226,10.0,4.0,1956.2,24.9,7053.7,27.0,2018.0,1.0
227,11.0,4.0,2055.9,24.5,7461.9,28.6,2018.0,1.0
228,12.0,4.0,2142.2,24.6,7839.1,30.6,2018.0,1.0
229,13.0,4.0,2224.3,24.8,8274.2,31.3,2018.0,1.0
230,14.0,4.0,2277.0,25.2,8661.0,32.2,2018.0,1.0
231,15.0,4.0,2291.2,25.0,8915.9,33.0,2018.0,1.0
232,16.0,4.0,2277.2,24.9,8786.2,33.8,2018.0,1.0
233,17.0,4.0,2282.7,24.2,8831.1,33.0,2018.0,1.0
234,18.0,4.0,2231.7,24.0,8547.4,32.0,2018.0,1.0
235,19.0,4.0,2170.9,23.2,8165.7,30.6,2018.0,1.0
236,20.0,4.0,2135.8,22.2,7909.7,28.9,2018.0,1.0
237,21.0,4.0,2228.5,21.5,8292.0,28.4,2018.0,1.0
238,22.0,4.0,2315.4,21.3,8663.5,28.6,2018.0,1.0
239,23.0,4.0,2256.2,21.2,8541.6,28.8,2018.0,1.0
240,0.0,5.0,2169.3,20.9,8270.4,29.0,2018.0,1.0
241,1.0,5.0,2084.2,20.4,7728.3,28.3,2018.0,1.0
242,2.0,5.0,1983.5,20.4,7217.4,27.6,2018.0,1.0
243,3.0,5.0,1916.8,19.6,6883.7,27.7,2018.0,1.0
244,4.0,5.0,1870.5,18.6,6668.4,27.8,2018.0,1.0
245,5.0,5.0,1848.4,18.0,6480.1,27.3,2018.0,1.0
246,6.0,5.0,1809.5,17.9,6300.4,26.8,2018.0,1.0
247,7.0,5.0,1741.4,20.861538461538462,6205.3,27.0,2018.0,1.0
248,8.0,5.0,1804.0,22.6,6663.6,28.2,2018.0,1.0
249,9.0,5.0,1949.3,24.9,7280.3,29.8,2018.0,1.0
250,10.0,5.0,2082.6,24.9,7853.8,31.7,2018.0,1.0
251,11.0,5.0,2203.1,26.6,8291.9,33.9,2018.0,1.0
252,12.0,5.0,2313.3,27.0,8774.9,35.0,2018.0,1.0
253,13.0,5.0,2187.6,27.3,8349.4,34.4,2018.0,1.0
254,14.0,5.0,2218.1,27.4,8344.8,36.0,2018.0,1.0
255,15.0,5.0,2207.6,26.0,8154.9,36.7,2018.0,1.0
256,16.0,5.0,2331.8,23.9,8789.5,36.5,2018.0,1.0
257,17.0,5.0,2247.8,22.8,8765.7,36.4,2018.0,1.0
258,18.0,5.0,2210.0,22.6,8823.3,34.8,2018.0,1.0
259,19.0,5.0,2128.2,22.3,8393.7,33.4,2018.0,1.0
260,20.0,5.0,2085.8,21.2,8276.9,31.6,2018.0,1.0
261,21.0,5.0,2231.7,20.6,8759.6,30.8,2018.0,1.0
262,22.0,5.0,2264.7,21.8,8511.6,30.8,2018.0,1.0
263,23.0,5.0,2220.3,21.8,8804.6,29.1,2018.0,1.0
264,0.0,6.0,2161.2,22.0,8531.1,29.5,2018.0,1.0
265,1.0,6.0,2033.6,21.0,7952.7,28.6,2018.0,1.0
266,2.0,6.0,1962.9,20.8,7493.3,28.3,2018.0,1.0
267,3.0,6.0,1900.2,20.4,7187.5,29.3,2018.0,1.0
